"mensal","cota","afluencia","defluencia","vazao_vertida","vazao_turbinada","vazao_natural"
"2000-01",215.703225806452,9505.87096774194,9306.8064516129,0,9306.8064516129,13485.1635483871
"2000-02",217.149655172414,10722.275862069,9622.24137931034,0,9622.24137931034,19146.6755172414
"2000-03",218.917096774194,11403.0967741935,10651.5161290323,5.12903225806452,10633.6129032258,17495.6941935484
"2000-04",219.498666666667,9936.6,10420,205.333333333333,10214.6666666667,11590.61
"2000-05",219.271935483871,9379.29032258065,9297.64516129032,1.67741935483871,9295.96774193548,8013.65258064516
"2000-06",219.415333333333,9908.63333333333,9737.26666666667,0,9737.26666666667,7483.675
"2000-07",219.727419354839,10409.6129032258,10155.9032258065,0,10155.9032258065,7393.02870967742
"2000-08",219.714516129032,10086.3225806452,10152.2258064516,0,10152.2258064516,7394.42580645161
"2000-09",220.299666666667,13444,13319.4666666667,1281.1,12038.3666666667,13591.7976666667
"2000-10",220.09,11447.6129032258,11534.0322580645,761.41935483871,10772.6774193548,8613.36612903226
"2000-11",219.76,10755.3666666667,11012.7333333333,134.166666666667,10878.5666666667,9494.90033333333
"2000-12",219.347096774194,10787.7419354839,10997.4193548387,4.09677419354839,10993.3225806452,13315.4880645161
"2001-01",220.010967741935,11947.3870967742,11337.9677419355,1417.12903225806,9920.90322580645,13783.0287096774
"2001-02",220.247142857143,13432.8571428571,13640.5357142857,3169.07142857143,10471.6428571429,15597.5914285714
"2001-03",219.573225806452,9947.45161290323,10171.1290322581,128.903225806452,10047.8064516129,12896.3632258065
"2001-04",219.758,10361.3333333333,10120.7,0,10120.7,10307.6353333333
"2001-05",219.414193548387,9204.35483870968,9492.12903225806,0,9492.12903225806,8655.94193548387
"2001-06",219.748333333333,8324.03333333333,7949.7,0,7949.7,8620.199
"2001-07",219.707741935484,7207.45161290323,7663.12903225806,0,7663.12903225806,7407.33096774194
"2001-08",219.093870967742,6767.70967741936,6729.38709677419,0,6729.38709677419,6150.72096774194
"2001-09",219.038,7027.96666666667,7296.4,0,7296.4,6470.91633333333
"2001-10",219.591935483871,8255.77419354839,7967.8064516129,0,7967.8064516129,8991.39
"2001-11",218.973666666667,7950.66666666667,8190.23333333333,0,8190.23333333333,8893.55966666667
"2001-12",218.382903225806,8732.61290322581,8467.51612903226,21.1935483870968,8446.32258064516,12391.0303225806
"2006-06",219.6,10412,10260,0,0,7032
"2006-07",219.6475,10166,10165.5,0,0,7317
"2006-08",218.4725,9169.5,10482.25,0,0,6287
"2006-10",218.673333333333,9123.58333333333,9272,0,0,8672.33333333333
"2006-11",219.14,9736.615,10227.5,0,0,8386.75
"2007-08",220.12,9948.95,9478,0,9478,5650
"2007-09",219.911666666667,9274.56,9621.41666666667,0,9621.41666666667,5234.08333333333
"2007-10",219.396666666667,9908.06333333333,10108.3333333333,84,10024.3333333333,4763
"2007-11",219.143333333333,10011.4766666667,10242.1666666667,0,10242.1666666667,8623.33333333333
"2008-01",218.98,11625.11,10139,0,10139,9427.4
"2008-02",218.245,10295.21,9576,0,9576,16948.41
"2008-03",220.06,12668.1,10949,693,10256,21722.1
"2008-04",220.285,11305.01,12018.5,1065,11052.5,15391.625
"2008-05",220.38,12553,12394,1543,10851,16554.02
"2008-07",220.012,9640.772,9892,0,9892,7954.44
"2008-08",220.27,11874.22,11716,0,11716,9121.27
"2008-09",219.77,8623,9087,0,9087,5996.52
"2008-10",220.4,11902.31,11425,0,11425,11345.27
"2008-12",217.765,8067.96,8893.25,0,8893.25,9733.2025
"2009-01",217.4775,8326.9,7984.25,0,7984.25,13943.155
"2009-02",218.96,11901.74,10349,0,10303.6666666667,21726.6066666667
"2009-03",219.614,12323.958,11547.8,444.6,11103.2,13974.622
"2009-04",219.658,10228.756,11093.8,0,11093.8,10692.934
"2009-05",219.3725,9338.70583333333,9044.41666666667,6,9064.83333333333,8867.65333333333
"2009-06",219.34,9688.72,9551.27272727273,0,9547.54545454545,7885.05727272727
"2009-07",220.123333333333,10041.1466666667,10513.3333333333,0,10513.3333333333,9680.95
"2009-08",219.716153846154,10181.0776923077,10520.1538461538,110.615384615385,10393.1538461538,9673.42769230769
"2009-09",220.158333333333,12005.97,12532.1666666667,1745.16666666667,10787,12410.51
"2009-10",220.11,11304.225,10912.5,556.5,10356,11217.61
"2009-11",220.125,14104.21,14497.5,3675.5,10822,14577.875
"2010-01",219.85,23566.89,22328,13029,9299,26075.15
"2010-03",219.82,14154.62,14853,5868,8985,17440.21
"2010-05",220.145,10851.01,10930,1771,9159,10892.485
"2010-06",220.229230769231,9671.10923076923,9876.69230769231,0,9876.69230769231,8352.00153846154
"2010-07",219.943,10171.7545,10000.1,0,10000.1,7949.8205
"2010-08",219.88347826087,9310.3452173913,9716.08695652174,31.7391304347826,9684.34782608696,6224.3647826087
"2010-09",219.670909090909,9289.67818181818,9581.27272727273,29.7272727272727,9551.54545454545,5695.91181818182
"2010-10",220.21652173913,11300.1786956522,10910.0869565217,922.782608695652,9987.17391304348,9165.79304347826
"2010-11",220.17,10889.9047058824,10786.7058823529,126,10651,8796.70588235294
"2010-12",220.326315789474,12569.7894736842,12287.4736842105,1696.63157894737,10590.3157894737,13419.7368421053
"2011-01",220.1415,12926.67,12974.65,1884.6,11090,21154.0775
"2011-02",220.116842105263,14478.0631578947,14582.4736842105,3481.15789473684,11101.3157894737,17949.8384210526
"2011-03",220.019230769231,19635.7761538462,19416.1538461538,9068.61538461538,10347.5384615385,26007.2823076923
"2011-04",220.133333333333,15517.7138888889,15499.8333333333,5972.72222222222,9527.11111111111,18864.8427777778
"2011-05",220.287368421053,10609.6578947368,10906.9473684211,424.421052631579,10482.5263157895,11337.8547368421
"2011-06",219.908571428571,10377.8895238095,10288.5714285714,43.0952380952381,10178.6666666667,9843.71904761905
"2011-07",220.3175,11537.008,11039.85,643.8,10396.05,9972.459
"2011-08",220.254782608696,13200.5282608696,13359.4347826087,2655.34782608696,10704.0869565217,11162.7582608696
"2011-09",220.2572,10323.5136,10500,580.08,9919.92,7370.8212
"2011-10",220.116923076923,11079.63,10945.0769230769,974.692307692308,9970.38461538462,9169.71307692308
"2011-11",220.37,12189.98,11396,2607,8789,10132.38
"2011-12",220.363333333333,11398.9633333333,10182.3333333333,439.666666666667,9742.66666666667,10040.0466666667
"2012-02",220.495,12614.995,12052,531.25,11520.75,16210.36
"2012-03",219.56,11974.8975,10601.75,0,10601.75,10724.2
"2012-04",219.565,10826.449,10736.6,19.4,10592.3,10881.665
"2012-05",219.761428571429,10979.55,11390.4285714286,0,11390.4285714286,11075.21
"2012-06",220.39,15307.0014285714,13993.4285714286,2057.85714285714,11935.5714285714,16478.4728571429
"2012-07",219.94,10980.25,12366.8571428571,0,12366.8571428571,9875.15571428571
"2012-08",219.235333333333,10603.0853333333,10612.0666666667,13.7333333333333,10598.3333333333,6924.26933333333
"2012-09",219.113636363636,9864.29090909091,9521.90909090909,36.4545454545455,9521.81818181818,5755.11454545455
"2012-10",218.828571428571,10186.7742857143,10695.5714285714,0,10695.5714285714,5914.95714285714
"2012-11",218.225,8733.77,9814.5,0,9814.5,7326.285
"2012-12",216.792,10318.322,11076.4,0,11076.4,10418.6
"2013-01",216.596,11227.01,10691.2,0,10691.2,14627.034
"2013-02",217.7275,13488.0883333333,12271.75,0,12271.75,19768.53
