"ano","mes","cota","afluencia","defluencia"
"2000","01",215.703225806452,9505.87096774194,9306.8064516129
"2000","02",217.149655172414,10722.275862069,9622.24137931034
"2000","03",218.917096774194,11403.0967741935,10651.5161290323
"2000","04",219.498666666667,9936.6,10420
"2000","05",219.271935483871,9379.29032258065,9297.64516129032
"2000","06",219.415333333333,9908.63333333333,9737.26666666667
"2000","07",219.727419354839,10409.6129032258,10155.9032258065
"2000","08",219.714516129032,10086.3225806452,10152.2258064516
"2000","09",220.299666666667,13444,13319.4666666667
"2000","10",220.09,11447.6129032258,11534.0322580645
"2000","11",219.76,10755.3666666667,11012.7333333333
"2000","12",219.347096774194,10787.7419354839,10997.4193548387
"2001","01",220.010967741935,11947.3870967742,11337.9677419355
"2001","02",220.247142857143,13432.8571428571,13640.5357142857
"2001","03",219.573225806452,9947.45161290323,10171.1290322581
"2001","04",219.758,10361.3333333333,10120.7
"2001","05",219.414193548387,9204.35483870968,9492.12903225806
"2001","06",219.748333333333,8324.03333333333,7949.7
"2001","07",219.707741935484,7207.45161290323,7663.12903225806
"2001","08",219.093870967742,6767.70967741936,6729.38709677419
"2001","09",219.038,7027.96666666667,7296.4
"2001","10",219.591935483871,8255.77419354839,7967.8064516129
"2001","11",218.973666666667,7950.66666666667,8190.23333333333
"2001","12",218.382903225806,8732.61290322581,8467.51612903226
"2002","01",219.505483870968,10846.4193548387,10471.0322580645
"2002","02",220.007142857143,13322.3928571429,13501.4642857143
"2002","03",219.93064516129,12020.2903225806,11914.4193548387
"2002","04",219.723,9694.23333333333,10019.2333333333
"2002","05",219.737096774194,11422.5161290323,11102.935483871
"2002","06",219.925,8662.4,8818.4
"2002","07",219.87064516129,7923.77419354839,7948.35483870968
"2002","08",219.551290322581,8419.03225806452,8507.87096774194
"2002","09",219.854666666667,8851.53333333333,8716.53333333333
"2002","10",219.811612903226,9256.51612903226,9007.35483870968
"2002","11",220.018333333333,9064,9263.16666666667
"2002","12",220.097096774194,10934.9677419355,10827.7096774194
"2003","01",220.208387096774,10008.8064516129,10066.2258064516
"2003","02",220.111071428571,14495.3571428571,14634.25
"2003","03",220.035806451613,12500.8709677419,12520.3225806452
"2003","04",220.078,11315.8666666667,11270.1333333333
"2003","05",219.89,9444.54838709677,9509
"2003","06",219.768666666667,9103.03333333333,9341.76666666667
"2003","07",219.574838709677,9020.38709677419,8989.8064516129
"2003","08",219.385483870968,8931.70967741935,9011.41935483871
"2003","09",219.370666666667,9510.4,9510.83333333333
"2003","10",219.539677419355,10665.935483871,10360.2258064516
"2003","11",219.360666666667,9938.9,10212.6666666667
"2003","12",219.883870967742,11369.9032258065,11158.2580645161
"2004","01",219.184516129032,9065.67741935484,9497.12903225806
"2004","02",218.803103448276,9274.34482758621,9363.1724137931
"2004","03",219.352580645161,9947.61290322581,9449.54838709677
"2004","04",219.686666666667,9876.2,9598.73333333333
"2004","05",220.289677419355,11526.2903225806,11467.4193548387
"2004","06",220.183666666667,12018.9333333333,12089.2
"2004","07",220.217741935484,10997.3870967742,11007.3870967742
"2004","08",219.832580645161,9205.29032258065,9430.25806451613
"2004","09",219.855,9374.93333333333,9294.66666666667
"2004","10",219.939677419355,11163.8709677419,11107.8064516129
"2004","11",219.866333333333,12022.8333333333,12102.8666666667
"2004","12",220.051935483871,10745.8387096774,10583.2903225806
"2005","01",220.097741935484,14932.3870967742,14933.064516129
"2005","02",220.002142857143,15507.6071428571,15784.3214285714
"2005","03",219.236451612903,9985.70967741935,9927.83870967742
"2005","04",219.812333333333,10223.0666666667,10579.3
"2005","05",218.776774193548,9604.8064516129,9571.64516129032
"2005","06",219.607,9844.1,9275.8
"2005","07",219.842258064516,8709.09677419355,8935.06451612903
"2005","08",219.653870967742,8821.64516129032,9013.35483870968
"2005","09",219.96,9315.53333333333,8858.13333333333
"2005","10",220.201935483871,12991.1612903226,13029.8064516129
"2005","11",219.947,10678.6666666667,10895.0666666667
"2005","12",219.999032258065,12446.9032258065,12322.0967741935
"2006","01",220.103870967742,11914.8387096774,11840.2903225806
"2006","02",220.216428571429,11008.0714285714,10954.4642857143
"2006","03",220.238709677419,13678.5483870968,13707.2258064516
"2006","04",220.107666666667,12535.9666666667,12561.6666666667
"2006","05",219.672580645161,9496.38709677419,9804.09677419355
"2006","06",219.431666666667,10003.2,9937.46666666667
"2006","07",219.559677419355,9769.06451612903,10020.5161290323
"2006","08",218.45935483871,9603.48387096774,10011.7741935484
"2006","09",219.089666666667,10258.479,9886.3
"2006","10",218.873548387097,9575.80612903226,9712.58064516129
"2006","11",219.168,10003.4313333333,9949.13333333333
"2006","12",219.565483870968,11384.1774193548,10793
"2007","01",219.944838709677,16825.8335483871,16881.4193548387
"2007","02",219.762142857143,21894.5482142857,22110.2142857143
"2007","03",219.854838709677,15253.7019354839,15099.1612903226
"2007","04",220.095333333333,11077.4023333333,10952.1666666667
"2007","05",220.287096774194,10352.1777419355,10255.2580645161
"2007","06",220.162666666667,9275.79033333333,9438.73333333333
"2007","07",220.100322580645,9841.00903225807,9683.32258064516
"2007","08",220.043870967742,9401.21387096774,9513.35483870968
"2007","09",219.807333333333,9367.673,9728.53333333333
"2007","10",219.337096774194,9401.2364516129,9576.41935483871
"2007","11",219.119666666667,9764.15566666667,10184.4333333333
"2007","12",218.161612903226,10027.74,9934.61290322581
"2008","01",218.531290322581,10082.3964516129,10281.5483870968
"2008","02",218.215862068966,10076.14,9923.10344827586
"2008","03",219.198064516129,11967.3816129032,10935.6129032258
"2008","04",220.338333333333,12864.5036666667,12859.2333333333
